aaer_release_to_party_fkey,aaer_release_fkey,raw_name,party_type_fkey,type,auditor_fkey,auditor_name,auditor_affiliate_fkey,aud_aff_name,cik,company_name,law_firm_fkey,law_firm_name
3026,2115,Infogroup Inc.,3,Entity,,,,,879437,infoGROUP Inc.,,
3028,2114,Kohls Corp,3,Entity,,,,,885639,KOHLS Corp,,
3029,2114,Carters Inc,3,Entity,,,,,1060822,CARTERS INC,,
3032,2234,Dell Inc,3,Entity,,,,,826083,DELL INC,,
3038,2236,"Powder River Petroleum International, Inc.",3,Entity,,,,,1125557,"POWDER RIVER PETROLEUM INTERNATIONAL, INC.",,
3049,2471,Left Behind Games Inc.,3,Entity,,,,,13055,LEFT BEHIND GAMES INC.,,
3059,2470,Assisted Living Concepts Inc,3,Entity,,,,,929994,ASSISTED LIVING CONCEPTS INC,,
3060,2470,"Ventas, Inc.",3,Entity,,,,,740260,"Ventas, Inc.",,
3066,2106,Infogroup Inc.,3,Entity,,,,,879437,infoGROUP Inc.,,
3068,2105,Infogroup Inc.,3,Entity,,,,,879437,infoGROUP Inc.,,
3071,2104,Life Partners Holdings Inc,3,Entity,,,,,49534,LIFE PARTNERS HOLDINGS INC,,
3074,2468,Diamond Foods Inc,3,Entity,,,,,1320947,Diamond Foods Inc,,
3077,2396,Boreal Water Collection Inc.,3,Entity,,,,,1538333,Boreal Water Collection Inc.,,
3078,2396,Monster Arts Inc.,3,Entity,,,,,1423746,Monster Arts Inc.,,
3079,2396,Primco Management Inc.,3,Entity,,,,,1516522,Primco Management Inc.,,
3080,2396,"Puissant Industries, Inc.",3,Entity,,,,,1511618,"Puissant Industries, Inc.",,
3081,2396,Greenway Technologies Inc,3,Entity,,,,,1572386,GREENWAY TECHNOLOGIES INC,,
3082,2396,"Premier Product Group, Inc.",3,Entity,,,,,1301838,"Premier Product Group, Inc.",,
3083,2396,"Adm Endeavors, Inc.",3,Entity,,,,,1588014,"ADM ENDEAVORS, INC.",,
3084,2396,Legendary Ventures Inc.,3,Entity,,,,,1602819,Legendary Ventures Inc.,,
3091,457,Quintus Corp,3,Entity,,,,,1024678,QUINTUS CORP,,
3094,456,Legato Systems Inc,3,Entity,,,,,859360,LEGATO SYSTEMS INC,,
3102,452,Advanced Technical Products Inc,3,Entity,,,,,60911,ADVANCED TECHNICAL PRODUCTS INC,,
3113,463,Anicom Inc,3,Entity,,,,,935802,ANICOM INC,,
3116,2240,Intermune Inc,3,Entity,,,,,1087432,INTERMUNE INC,,
3126,2246,Infogroup Inc,3,Entity,,,,,879437,infoGROUP Inc.,,
3128,2247,Infogroup Inc.,3,Entity,,,,,879437,infoGROUP Inc.,,
3133,2258,Stock Car Stocks Mutual Fund Inc,3,Entity,,,,,1062505,STOCK CAR STOCKS MUTUAL FUND INC,,
3137,2260,Starmedia Network Inc,3,Entity,,,,,1057334,STARMEDIA NETWORK INC,,
3141,2261,Enron Corp/or/,3,Entity,,,,,1024401,ENRON CORP/OR/,,
3142,2261,Enron Corp,3,Entity,,,,,72859,ENRON CORP,,
3145,2262,Sure Trace Security Corp,3,Entity,,,,,736314,SURE TRACE SECURITY CORP,,
3149,2264,"Powder River Petroleum International, Inc.",3,Entity,,,,,1125557,"POWDER RIVER PETROLEUM INTERNATIONAL, INC.",,
3160,468,Surety Capital Corp,3,Entity,,,,,784932,SURETY CAPITAL CORP /DE/,,
3163,469,Telxon Corp,3,Entity,,,,,352495,TELXON CORP,,
3166,472,"Teltran International Group, Ltd.",3,Entity,,,,,1069793,"CelebDirect, Inc.",,
3170,2265,Enron Corp/or/,3,Entity,,,,,1024401,ENRON CORP/OR/,,
3171,2265,Enron Corp,3,Entity,,,,,72859,ENRON CORP,,
3172,2265,Blockbuster Inc,3,Entity,,,,,1085734,BLOCKBUSTER INC,,
3176,2266,"Thestreet, Inc.",3,Entity,,,,,1080056,"THESTREET, INC.",,
3181,2268,"Lsb Industries, Inc.",3,Entity,,,,,60714,"LSB INDUSTRIES, INC.",,
3185,2269,Commonwealth Bankshares Inc,3,Entity,,,,,835012,COMMONWEALTH BANKSHARES INC,,
3188,2270,Tierone Corp,3,Entity,,,,,1170605,TIERONE CORP,,
3191,2271,Sunrise Senior Living Inc,3,Entity,,,,,1011064,SUNRISE SENIOR LIVING INC,,
3198,2101,Enron Corp/or/,3,Entity,,,,,1024401,ENRON CORP/OR/,,
3199,2101,Enron Corp,3,Entity,,,,,72859,ENRON CORP,,
3200,2101,"Merrill Lynch & Co., Inc.",3,Entity,,,,,65100,"MERRILL LYNCH & CO., INC.",,
3212,2118,World Surveillance Group Inc.,3,Entity,,,,,919742,World Surveillance Group Inc.,,
3217,2121,Global Industrial Co,3,Entity,,,,,945114,GLOBAL INDUSTRIAL Co,,
3220,2122,8888 Acquisition Corp,3,Entity,,,,,1376866,8888 Acquisition CORP,,
3221,2122,Rokk3r Inc.,3,Entity,,,,,1100778,Rokk3r Inc.,,
3222,2122,"Vegalab, Inc.",3,Entity,,,,,1435224,"Vegalab, Inc.",,
3223,2122,Jd International Ltd,3,Entity,,,,,895650,JD International Ltd,,
3224,2122,"Omnicanna Health Solutions, Inc.",3,Entity,,,,,54424,"OMNICANNA HEALTH SOLUTIONS, INC.",,
3225,2122,Tyin Group Holdings Ltd,3,Entity,,,,,1512693,TYIN Group Holdings Ltd,,
3226,2122,Asia Green Agriculture Corp,3,Entity,,,,,1440476,Asia Green Agriculture Corp,,
3228,2123,Digi International Inc,3,Entity,,,,,854775,DIGI INTERNATIONAL INC,,
3230,473,"Teltran International Group, Ltd.",3,Entity,,,,,1069793,"CelebDirect, Inc.",,
3239,2119,Esafetyworld Inc,3,Entity,,,,,1094012,ESAFETYWORLD INC,,
3242,2125,Us Gas & Electric Inc,3,Entity,,,,,1098964,US GAS & ELECTRIC INC,,
3247,2126,Tierone Corp,3,Entity,,,,,1170605,TIERONE CORP,,
3254,2128,Companies (tc) Llc,3,Entity,,,,,1455675,COMPANIES (TC) LLC,,
3257,478,Critical Path Inc,3,Entity,,,,,1060801,CRITICAL PATH INC,,
3258,2129,Embarcadero Technologies Inc,3,Entity,,,,,1107112,EMBARCADERO TECHNOLOGIES INC,,
3260,2130,Spongetech Delivery Systems Inc,3,Entity,,,,,1201251,SPONGETECH DELIVERY SYSTEMS INC,,
3262,479,Picturetel Corp,3,Entity,,,,,755095,PICTURETEL CORP,,
3264,2131,Chattem Inc,3,Entity,,,,,19520,CHATTEM INC,,
3269,480,Picturetel Corp,3,Entity,,,,,755095,PICTURETEL CORP,,
3276,2133,Soyo Group Inc,3,Entity,,,,,1108955,SOYO GROUP INC,,
3294,482,Signal Technology Corp,3,Entity,,,,,901119,SIGNAL TECHNOLOGY CORP,,
3297,2136,Stock Car Stocks Mutual Fund Inc,3,Entity,,,,,1062505,STOCK CAR STOCKS MUTUAL FUND INC,,
3302,484,Scott Paper Co,3,Entity,,,,,87949,SCOTT PAPER CO,,
3306,2138,Veritas Software Corp,3,Entity,,,,,1084408,VERITAS SOFTWARE CORP /DE/,,
3307,2138,Aol Llc,3,Entity,,,,,883780,AOL LLC,,
3310,2139,Veritas Software Corp,3,Entity,,,,,1084408,VERITAS SOFTWARE CORP /DE/,,
3311,486,Usa Detergents Inc,3,Entity,,,,,946816,USA DETERGENTS INC,,
3312,2139,Aol Llc,3,Entity,,,,,883780,AOL LLC,,
3316,487,"USA Detergents, Inc.",3,Entity,,,,,946816,USA DETERGENTS INC,,
3318,2140,Soyo Group Inc,3,Entity,,,,,1108955,SOYO GROUP INC,,
3320,488,USA Detergents Inc,3,Entity,,,,,946816,USA DETERGENTS INC,,
3325,2142,Marvell Technology Group Ltd,3,Entity,,,,,1058057,MARVELL TECHNOLOGY GROUP LTD,,
3329,2143,Jpmorgan Chase & Co,3,Entity,,,,,19617,JPMORGAN CHASE & CO,,
3330,2143,Jp Morgan Chase Bank Na,3,Entity,,,,,1327421,JP Morgan Chase Bank NA,,
3332,2144,Mariner Energy Inc,3,Entity,,,,,1022345,MARINER ENERGY INC,,
3338,489,USA Detergents Inc,3,Entity,,,,,946816,USA DETERGENTS INC,,
3340,490,USA Detergents Inc,3,Entity,,,,,946816,USA DETERGENTS INC,,
3342,491,USA Detergents Inc,3,Entity,,,,,946816,USA DETERGENTS INC,,
3344,492,Raintree Healthcare Corp,3,Entity,,,,,1001769,RAINTREE HEALTHCARE CORP,,
3346,493,Mckesson Corp,3,Entity,,,,,927653,MCKESSON CORP,,
3348,494,McKesson Corp,3,Entity,,,,,927653,MCKESSON CORP,,
3349,494,HBO & Co,3,Entity,,,,,310377,HBO & CO,,
3351,495,HBO & Co,3,Entity,,,,,310377,HBO & CO,,
3353,496,"IGI, Inc.",3,Entity,,,,,352998,"Teligent, Inc.",,
3360,498,IGI Inc,3,Entity,,,,,352998,"Teligent, Inc.",,
3363,499,IGI Inc,3,Entity,,,,,352998,"Teligent, Inc.",,
3365,500,Gunther International Ltd,3,Entity,,,,,913600,GUNTHER INTERNATIONAL LTD,,
3381,501,"AppOnline.com, Inc.",3,Entity,,,,,353646,APPONLINE COM INC,,
3391,504,Freestar,3,Entity,,,,,1102301,"Rahaxi, Inc.",,
3393,505,Telxon Corp,3,Entity,,,,,352495,TELXON CORP,,
3400,512,International Thoroughbred Breeders Inc,3,Entity,,,,,320573,INTERNATIONAL THOROUGHBRED BREEDERS INC,,
3404,513,Critical Path Inc,3,Entity,,,,,1060801,CRITICAL PATH INC,,
3409,515,Cyberguard Corp,3,Entity,,,,,927133,CYBERGUARD CORP,,
3414,517,Atchison Casting Corp,3,Entity,,,,,911115,ATCHISON CASTING CORP,,
3418,519,Fine Host Corp,3,Entity,,,,,1011584,FINE HOST CORP,,
3421,520,"Novatek International, Inc.",3,Entity,,,,,832334,MEDICAL DIAGNOSTIC PRODUCTS INC,,
3432,524,MPM Technologies Inc,3,Entity,,,,,799268,MPM TECHNOLOGIES INC,,
3436,525,California Software Corp,3,Entity,,,,,1077913,CALIFORNIA SOFTWARE CORP,,
3438,526,AIM Funds,3,Entity,,,,,19034,AIM FUNDS GROUP (INVESCO FUNDS GROUP),,
3443,2147,WorldCom Inc,3,Entity,,,,,723527,MCI INC,,
3446,2148,Robotic Vision Systems Inc,3,Entity,,,,,225868,ROBOTIC VISION SYSTEMS INC,,
3447,527,InaCom Corp.,3,Entity,,,,,818815,INACOM CORP,,
3457,2151,Morgan Stanley Real Estate Fund,3,Entity,,,,,1074111,MORGAN STANLEY REAL ESTATE FUND,,
3460,528,California Software Corp,3,Entity,,,,,1077913,CALIFORNIA SOFTWARE CORP,,
3462,529,California Software Corp,3,Entity,,,,,1077913,CALIFORNIA SOFTWARE CORP,,
3474,2153,Csk Auto Corp,3,Entity,,,,,1051848,CSK AUTO CORP,,
3485,2154,Gateway Inc,3,Entity,,,,,895812,GATEWAY INC,,
3494,2156,Syntax-brillian Corp,3,Entity,,,,,1232229,SYNTAX-BRILLIAN CORP,,
3495,532,California Software Corp,3,Entity,,,,,1077913,CALIFORNIA SOFTWARE CORP,,
3500,2157,Franklin Bank Corp,3,Entity,,,,,1207070,FRANKLIN BANK CORP,,
3503,202,Fine Host Corp,3,Entity,,,,,1011584,FINE HOST CORP,,
3506,2158,Hi Shear Technology Corp,3,Entity,,,,,918027,HI SHEAR TECHNOLOGY CORP,,
3509,203,Fine Host Corp,3,Entity,,,,,1011584,FINE HOST CORP,,
3512,204,Fine Host Corp,3,Entity,,,,,1011584,FINE HOST CORP,,
3514,205,Fine Host Corp,3,Entity,,,,,1011584,FINE HOST CORP,,
3518,2160,Arthrocare Corp,3,Entity,,,,,1005010,ARTHROCARE CORP,,
3522,206,Manhattan Bagel Co Inc,3,Entity,,,,,914565,MANHATTAN BAGEL CO INC,,
3525,2162,Veritas Software Corp,3,Entity,,,,,1084408,VERITAS SOFTWARE CORP /DE/,,
3527,2162,Aol Llc,3,Entity,,,,,883780,AOL LLC,,
3530,2163,"Puda Coal, Inc.",3,Entity,,,,,1162747,"Puda Coal, Inc.",,
3538,2164,Noble Finance Co,3,Entity,,,,,1169055,Noble Finance Co,,
3542,2165,"Tmst, Inc.",3,Entity,,,,,892535,"TMST, Inc.",,
3544,2166,Starmedia Network Inc,3,Entity,,,,,1057334,STARMEDIA NETWORK INC,,
3548,207,Manhattan Bagel Co Inc,3,Entity,,,,,914565,MANHATTAN BAGEL CO INC,,
3558,2168,Syntax-brillian Corp,3,Entity,,,,,1232229,SYNTAX-BRILLIAN CORP,,
3560,2169,Symmetry Medical Inc.,3,Entity,,,,,1292055,Symmetry Medical Inc.,,
3563,2170,Symmetry Medical Inc.,3,Entity,,,,,1292055,Symmetry Medical Inc.,,
3566,2171,Symmetry Medical Inc.,3,Entity,,,,,1292055,Symmetry Medical Inc.,,
3569,2172,Smith & Nephew Inc,3,Entity,,,,,1090875,SMITH & NEPHEW INC,,
3572,2173,Oak Hill Financial Inc,3,Entity,,,,,949953,OAK HILL FINANCIAL INC,,
3573,2173,Wesbanco Inc,3,Entity,,,,,203596,WESBANCO INC,,
3576,211,"Vista 2000, Inc.",3,Entity,,,,,916802,BOSS HOLDINGS INC,,
3583,2174,Gateway Inc,3,Entity,,,,,895812,GATEWAY INC,,
3590,2175,Syntax-brillian Corp,3,Entity,,,,,1232229,SYNTAX-BRILLIAN CORP,,
3595,2176,Symmetry Medical Inc.,3,Entity,,,,,1292055,Symmetry Medical Inc.,,
3602,2178,Delphi Corp,3,Entity,,,,,1072342,DELPHI CORP,,
3605,2179,Inphonic Inc,3,Entity,,,,,1133324,INPHONIC INC,,
3612,2181,Calypso Wireless Inc,3,Entity,,,,,719729,CALYPSO WIRELESS INC,,
3616,2182,"Wellcare Health Plans, Inc.",3,Entity,,,,,1279363,"WELLCARE HEALTH PLANS, INC.",,
3625,1974,Ucbh Holdings Inc,3,Entity,,,,,1061580,UCBH HOLDINGS INC,,
3627,1975,Soyo Group Inc,3,Entity,,,,,1108955,SOYO GROUP INC,,
3629,1977,"Isilon Systems, Inc.",3,Entity,,,,,1373671,"Isilon Systems, Inc.",,
3631,1978,"Isilon Systems, Inc.",3,Entity,,,,,1373671,"Isilon Systems, Inc.",,
3637,213,Hollywood Trenz Inc,3,Entity,,,,,841447,HOLLYWOOD TRENZ INC,,
3640,214,Seaboard Corp,3,Entity,,,,,88121,SEABOARD CORP /DE/,,
3646,218,McKesson Corp,3,Entity,,,,,927653,MCKESSON CORP,,
3667,224,Oak Industries Inc,3,Entity,,,,,73568,OAK INDUSTRIES INC,,
3674,226,Sabratek Corp,3,Entity,,,,,1012480,SABRATEK CORP,,
3679,227,Sabratek Corp,3,Entity,,,,,1012480,SABRATEK CORP,,
3681,228,"Vari-L Company, Inc.",3,Entity,,,,,917173,VL DISSOLUTION CORP,,
3683,229,"Vari-L Company, Inc.",3,Entity,,,,,917173,VL DISSOLUTION CORP,,
3687,230,Cylink Corp,3,Entity,,,,,1005230,CYLINK CORP /CA/,,
3690,233,Madera International Inc,3,Entity,,,,,810750,MADERA INTERNATIONAL INC,,
3691,233,EMB Corporation,3,Entity,,,,,1017797,"AMT Group, Inc.",,
3708,283,Forestay Corporation,3,Entity,,,,,1088815,MILINX BUSINESS GROUP INC,,
3709,283,Epilogue Corporation,3,Entity,,,,,1088788,NEXTPATH TECHNOLOGIES INC,,
3710,283,Abbacy Corporation,3,Entity,,,,,1088795,CBCOM INC,,
3711,283,Torbay Acquisition Corporation,3,Entity,,,,,1078724,"ICC Worldwide, Inc.",,
3717,286,Informix Corporation,3,Entity,,,,,799089,ASCENTIAL SOFTWARE CORP,,
3724,289,Sunbeam Corp,3,Entity,,,,,3662,SUNBEAM CORP/FL/,,
3728,290,Sunbeam Corp,3,Entity,,,,,3662,SUNBEAM CORP/FL/,,
3731,292,Unison HealthCare Corporation,3,Entity,,,,,1001769,RAINTREE HEALTHCARE CORP,,
3734,293,Unison HealthCare Corporation,3,Entity,,,,,1001769,RAINTREE HEALTHCARE CORP,,
3739,296,"Detour Magazine, Inc.",3,Entity,,,,,935730,DETOUR MEDIA GROUP INC,,
3745,303,Mercury Finance Co.,3,Entity,,,,,846378,MFN FINANCIAL CORP,,
3753,1980,"Kentucky Energy, Inc.",3,Entity,,,,,1130126,"Kentucky Energy, Inc.",,
3755,1981,Royal Ahold Delhaize,3,Entity,,,,,869425,Royal Ahold Delhaize,,
3756,1981,Us Foodservice,3,Entity,,,,,928395,US FOODSERVICE/MD/,,
3760,1983,Soyo Group Inc,3,Entity,,,,,1108955,SOYO GROUP INC,,
3765,1984,Delphi Corp,3,Entity,,,,,1072342,DELPHI CORP,,
3770,2045,Michael Baker Corporation,3,Entity,,,,,9263,MICHAEL BAKER CORP,,
3774,2046,Indymac Bancorp Inc,3,Entity,,,,,773468,INDYMAC BANCORP INC,,
3781,2047,Brooke Corp,3,Entity,,,,,834408,BROOKE CORP,,
3782,2047,Brooke Capital Corp,3,Entity,,,,,1082084,BROOKE CAPITAL CORP,,
3783,2047,Aleritas Capital Corp.,3,Entity,,,,,1325823,Aleritas Capital Corp.,,
3785,2048,Tenet Healthcare Corp,3,Entity,,,,,70318,TENET HEALTHCARE CORP,,
3807,599,Move Inc,3,Entity,,,,,1085770,MOVE INC,,
3814,600,Rent Way Inc,3,Entity,,,,,893046,RENT WAY INC,,
3816,601,Ardent Communications Inc,3,Entity,,,,,1078404,ARDENT COMMUNICATIONS INC,,
3818,602,Ardent Communications Inc,3,Entity,,,,,1078404,ARDENT COMMUNICATIONS INC,,
3821,603,Nvidia Corp,3,Entity,,,,,1045810,NVIDIA CORP,,
3829,606,Brightpoint Inc,3,Entity,,,,,918946,BRIGHTPOINT INC,,
3833,607,American International Group Inc,3,Entity,,,,,5272,"AMERICAN INTERNATIONAL GROUP, INC.",,
3834,607,Brightpoint Inc,3,Entity,,,,,918946,BRIGHTPOINT INC,,
3838,608,Brightpoint Inc,3,Entity,,,,,918946,BRIGHTPOINT INC,,
3839,608,American International Group Inc,3,Entity,,,,,5272,"AMERICAN INTERNATIONAL GROUP, INC.",,
3843,609,American International Group Inc,3,Entity,,,,,5272,"AMERICAN INTERNATIONAL GROUP, INC.",,
3848,610,Encompass Health Corp,3,Entity,,,,,785161,Encompass Health Corp,,
3850,611,Enron Corp/or/,3,Entity,,,,,1024401,ENRON CORP/OR/,,
3851,611,Enron Corp,3,Entity,,,,,72859,ENRON CORP,,
3852,611,Merrill Lynch & Co Inc,3,Entity,,,,,65100,"MERRILL LYNCH & CO., INC.",,
3857,613,Logicon Inc /de/,3,Entity,,,,,311946,LOGICON INC /DE/,,
3858,613,Legato Systems Inc,3,Entity,,,,,859360,LEGATO SYSTEMS INC,,
3870,701,Encompass Health Corp,3,Entity,,,,,785161,Encompass Health Corp,,
3874,339,Mci Inc,3,Entity,,,,,723527,MCI INC,,
3878,376,Move Inc,3,Entity,,,,,1085770,MOVE INC,,
3880,377,Move Inc,3,Entity,,,,,1085770,MOVE INC,,
3882,378,Mci Inc,3,Entity,,,,,723527,MCI INC,,
3888,169,Peritus Software Services Inc,3,Entity,,,,,1011632,PERITUS SOFTWARE SERVICES INC,,
3900,171,Digital Lightwave Inc,3,Entity,,,,,1016100,DIGITAL LIGHTWAVE INC,,
3902,172,Digital Lightwave Inc,3,Entity,,,,,1016100,DIGITAL LIGHTWAVE INC,,
3905,179,Laser Technology Inc,3,Entity,,,,,889899,LASER TECHNOLOGY INC,,
3907,180,Laser Technology Inc,3,Entity,,,,,889899,LASER TECHNOLOGY INC,,
3910,181,Inamed Corp,3,Entity,,,,,109831,INAMED CORP,,
3912,70,Detour Media Group Inc,3,Entity,,,,,935730,DETOUR MEDIA GROUP INC,,
3917,184,First Merchants Acceptance Corp,3,Entity,,,,,926296,FIRST MERCHANTS ACCEPTANCE CORP,,
3922,74,Minerals Mining Corp,3,Entity,,,,,887531,Minerals Mining CORP,,
3924,75,Minerals Mining Corp,3,Entity,,,,,887531,Minerals Mining CORP,,
3930,77,"Monarch Investment Properties, Inc.",3,Entity,,,,,1407882,"Monarch Investment Properties, Inc.",,
3933,78,Detour Media Group Inc,3,Entity,,,,,935730,DETOUR MEDIA GROUP INC,,
3937,79,Solucorp Industries Ltd,3,Entity,,,,,1051720,SOLUCORP INDUSTRIES LTD,,
3943,116,Material Sciences Corp,3,Entity,,,,,755003,MATERIAL SCIENCES CORP,,
3944,165,Thor Industries Inc,3,Entity,,,,,730263,THOR INDUSTRIES INC,,
3947,117,Abs Industries Inc,3,Entity,,,,,313368,ABS INDUSTRIES INC /DE/,,
3949,123,Crg Liquidation Co,3,Entity,,,,,919869,CRG Liquidation CO,,
3958,134,Ikon Office Solutions Inc,3,Entity,,,,,3370,IKON OFFICE SOLUTIONS INC,,
3960,134,Hybrid Networks Inc,3,Entity,,,,,900091,HYBRID NETWORKS INC,,
3962,135,Symbiat Inc,3,Entity,,,,,819479,SYMBIAT INC,,
3970,446,Aura Systems Inc,3,Entity,,,,,826253,AURA SYSTEMS INC,,
3991,2238,Seracare Life Sciences Inc,3,Entity,,,,,1156295,SERACARE LIFE SCIENCES INC,,
4008,442,Korea Data Systems America Inc,3,Entity,,,,,1127008,KOREA DATA SYSTEMS AMERICA INC,,
4012,723,True Value Co,3,Entity,,,,,25095,TRUE VALUE CO,,
4014,441,Cyberguard Corp,3,Entity,,,,,927133,CYBERGUARD CORP,,
4016,440,Cylink Corp,3,Entity,,,,,1005230,CYLINK CORP /CA/,,
4023,439,Apponline Com Inc,3,Entity,,,,,353646,APPONLINE COM INC,,
4026,437,Rite Aid Corp,3,Entity,,,,,84129,RITE AID CORP,,
4030,436,Rite Aid Corp,3,Entity,,,,,84129,RITE AID CORP,,
4035,435,Ebt International Inc,3,Entity,,,,,917471,EBT INTERNATIONAL INC,,
4037,434,Mfn Financial Corp,3,Entity,,,,,846378,MFN FINANCIAL CORP,,
4045,448,Physician Computer Network Inc,3,Entity,,,,,861438,PHYSICIAN COMPUTER NETWORK INC /NJ,,
4048,449,Physician Computer Network Inc,3,Entity,,,,,861438,PHYSICIAN COMPUTER NETWORK INC /NJ,,
4053,57,Raintree Healthcare Corp,3,Entity,,,,,1001769,RAINTREE HEALTHCARE CORP,,
4055,56,Photran Corp,3,Entity,,,,,894906,PHOTRAN CORP,,
4057,50,"Nikko Alternative Asset Management, Inc.",3,Entity,,,,,72062,"NIKKO ALTERNATIVE ASSET MANAGEMENT, INC.",,
4060,48,"Nikko Alternative Asset Management, Inc.",3,Entity,,,,,72062,"NIKKO ALTERNATIVE ASSET MANAGEMENT, INC.",,
4063,164,Intercontinental Resources NA Inc,3,Entity,,,,,1080360,"CHINA VALVES TECHNOLOGY, INC",,
4073,1891,"Geotec, Inc.",3,Entity,,,,,1087717,"GEOTEC, INC.",,
4075,1892,Fischer Imaging Corp,3,Entity,,,,,750901,FISCHER IMAGING CORP,,
4077,1893,Afinsa Bienes Tangibles S A,3,Entity,,,,,1043381,AFINSA BIENES TANGIBLES S A,,
4078,1893,"Spectrum Group International, Inc.",3,Entity,,,,,895516,"SPECTRUM GROUP INTERNATIONAL, INC.",,
4080,1894,Newpark Resources Inc,3,Entity,,,,,71829,NEWPARK RESOURCES INC,,
4082,1895,Newpark Resources Inc,3,Entity,,,,,71829,NEWPARK RESOURCES INC,,
4089,1896,ICTV Brands Inc.,3,Entity,,,,,1076522,ICTV Brands Inc.,,
4092,142,"Avis Budget Group, Inc.",3,Entity,,,,,723612,"AVIS BUDGET GROUP, INC.",,
4094,141,"Avis Budget Group, Inc.",3,Entity,,,,,723612,"AVIS BUDGET GROUP, INC.",,
4095,141,Ideon Group Inc,3,Entity,,,,,943097,IDEON GROUP INC,,
4097,140,"Avis Budget Group, Inc.",3,Entity,,,,,723612,"AVIS BUDGET GROUP, INC.",,
4100,137,Dci Telecommunications Inc,3,Entity,,,,,769852,DCI TELECOMMUNICATIONS INC,,
4106,39,Photran Corp,3,Entity,,,,,894906,PHOTRAN CORP,,
4108,38,Pepsiamericas Inc,3,Entity,,,,,948086,PEPSIAMERICAS INC,,
4112,199,Computerized Thermal Imaging Inc,3,Entity,,,,,1021853,COMPUTERIZED THERMAL IMAGING INC,,
4133,195,Advantage Capital Development Corp,3,Entity,,,,,54175,ADVANTAGE CAPITAL DEVELOPMENT CORP,,
4140,192,Itex Corp,3,Entity,,,,,860518,ITEX CORP,,
4142,191,Itex Corp,3,Entity,,,,,860518,ITEX CORP,,
4150,185,Symbiat Inc,3,Entity,,,,,819479,SYMBIAT INC,,
4155,150,Symbiat Inc,3,Entity,,,,,819479,SYMBIAT INC,,
4158,149,Symbiat Inc,3,Entity,,,,,819479,SYMBIAT INC,,
4160,144,Firstmark Corp,3,Entity,,,,,820588,FIRSTMARK CORP /ME/,,
4165,139,"Avis Budget Group, Inc.",3,Entity,,,,,723612,"AVIS BUDGET GROUP, INC.",,
4167,131,"Avis Budget Group, Inc.",3,Entity,,,,,723612,"AVIS BUDGET GROUP, INC.",,
4170,124,Crg Liquidation Co,3,Entity,,,,,919869,CRG Liquidation CO,,
4174,88,Oak Industries Inc,3,Entity,,,,,73568,OAK INDUSTRIES INC,,
4178,87,Hbo & Co,3,Entity,,,,,310377,HBO & CO,,
4179,87,Mckesson Corp,3,Entity,,,,,927653,MCKESSON CORP,,
4181,86,Ascential Software Corp,3,Entity,,,,,799089,ASCENTIAL SOFTWARE CORP,,
4185,83,Engineering Animation Inc,3,Entity,,,,,1005270,ENGINEERING ANIMATION INC,,
4193,288,Manhattan Bagel Co Inc,3,Entity,,,,,914565,MANHATTAN BAGEL CO INC,,
4202,626,Microstrategy Inc,3,Entity,,,,,1050446,MICROSTRATEGY Inc,,
4203,626,Td Ameritrade Holding Corp,3,Entity,,,,,1173431,TD AMERITRADE HOLDING CORP,,
4208,628,Cutter & Buck Inc,3,Entity,,,,,948069,CUTTER & BUCK INC,,
4212,630,U S Wireless Corp,3,Entity,,,,,912083,U S WIRELESS CORP,,
4225,633,Carnegie International Corp,3,Entity,,,,,311172,CARNEGIE INTERNATIONAL CORP,,
4227,634,"Rahaxi, Inc.",3,Entity,,,,,1102301,"Rahaxi, Inc.",,
4229,635,Hbo & Co,3,Entity,,,,,310377,HBO & CO,,
4231,636,"Gold Rock Holdings, Inc.",3,Entity,,,,,894501,"GOLD ROCK HOLDINGS, INC.",,
4233,638,Enron Corp,3,Entity,,,,,1024401,ENRON CORP/OR/,,
4234,638,Dynegy Inc.,3,Entity,,,,,1379895,DYNEGY INC.,,
4238,1898,Pride International Inc,3,Entity,,,,,833081,PRIDE INTERNATIONAL INC,,
4251,1900,Innospec Inc.,3,Entity,,,,,1054905,INNOSPEC INC.,,
4253,1901,Navistar International Corp,3,Entity,,,,,808450,NAVISTAR INTERNATIONAL CORP,,
4265,1903,Best Buy Co Inc,3,Entity,,,,,764478,BEST BUY CO INC,,
4266,1903,Sears Holdings Corp,3,Entity,,,,,1310067,SEARS HOLDINGS CORP,,
4267,1903,Walgreen Co,3,Entity,,,,,104207,WALGREEN CO,,
4268,1903,"Motorola Solutions, Inc.",3,Entity,,,,,68505,"Motorola Solutions, Inc.",,
4269,1903,Option Care Inc,3,Entity,,,,,884064,OPTION CARE INC/DE,,
4272,625,American Bank Note Holographics Inc,3,Entity,,,,,1052489,AMERICAN BANK NOTE HOLOGRAPHICS INC,,
4273,625,American Banknote Corp,3,Entity,,,,,51124,AMERICAN BANKNOTE CORP,,
4276,1904,Allstate Corp,3,Entity,,,,,899051,ALLSTATE CORP,,
4277,622,Johnson Controls International Plc,3,Entity,,,,,833444,Johnson Controls International plc,,
4278,1904,Berkshire Hathaway Inc,3,Entity,,,,,1067983,BERKSHIRE HATHAWAY INC,,
4280,1904,Best Buy Co Inc,3,Entity,,,,,764478,BEST BUY CO INC,,
